# file | joint | kind | param | sign | n_substeps | truncated | reason | retries
r3_left_hip_pitch_step_0.05p | left_hip_pitch_joint | step | 0.05 | 1.0 | 100 | False | none | 0
r3_left_hip_pitch_step_0.05n | left_hip_pitch_joint | step | 0.05 | -1.0 | 100 | False | none | 0
r3_left_hip_pitch_step_0.1p | left_hip_pitch_joint | step | 0.1 | 1.0 | 100 | False | none | 0
r3_left_hip_pitch_step_0.1n | left_hip_pitch_joint | step | 0.1 | -1.0 | 100 | False | none | 0
r3_left_hip_pitch_step_0.2p | left_hip_pitch_joint | step | 0.2 | 1.0 | 100 | False | none | 0
r3_left_hip_pitch_step_0.2n | left_hip_pitch_joint | step | 0.2 | -1.0 | 100 | False | none | 0
r3_left_hip_pitch_sine_0.5 | left_hip_pitch_joint | sine | 0.5 | 0.0 | 113 | True | root_roll=-0.02_pitch=0.36 | 1
r3_left_hip_pitch_sine_2.0 | left_hip_pitch_joint | sine | 2.0 | 0.0 | 113 | True | root_roll=-0.02_pitch=0.35 | 1
r3_left_hip_pitch_sine_5.0 | left_hip_pitch_joint | sine | 5.0 | 0.0 | 115 | True | root_roll=-0.01_pitch=0.35 | 1
r3_left_hip_roll_step_0.05p | left_hip_roll_joint | step | 0.05 | 1.0 | 100 | False | none | 0
r3_left_hip_roll_step_0.05n | left_hip_roll_joint | step | 0.05 | -1.0 | 100 | False | none | 0
r3_left_hip_roll_step_0.1p | left_hip_roll_joint | step | 0.1 | 1.0 | 100 | False | none | 0
r3_left_hip_roll_step_0.1n | left_hip_roll_joint | step | 0.1 | -1.0 | 100 | False | none | 0
r3_left_hip_roll_step_0.2p | left_hip_roll_joint | step | 0.2 | 1.0 | 100 | False | none | 0
r3_left_hip_roll_step_0.2n | left_hip_roll_joint | step | 0.2 | -1.0 | 100 | False | none | 0
r3_left_hip_roll_sine_0.5 | left_hip_roll_joint | sine | 0.5 | 0.0 | 115 | True | root_roll=-0.02_pitch=0.35 | 1
r3_left_hip_roll_sine_2.0 | left_hip_roll_joint | sine | 2.0 | 0.0 | 117 | True | root_roll=-0.03_pitch=0.35 | 1
r3_left_hip_roll_sine_5.0 | left_hip_roll_joint | sine | 5.0 | 0.0 | 118 | True | root_roll=-0.03_pitch=0.35 | 1
r3_left_knee_step_0.05p | left_knee_joint | step | 0.05 | 1.0 | 100 | False | none | 0
r3_left_knee_step_0.05n | left_knee_joint | step | 0.05 | -1.0 | 100 | False | none | 0
r3_left_knee_step_0.1p | left_knee_joint | step | 0.1 | 1.0 | 100 | False | none | 0
r3_left_knee_step_0.1n | left_knee_joint | step | 0.1 | -1.0 | 100 | False | none | 0
r3_left_knee_step_0.2p | left_knee_joint | step | 0.2 | 1.0 | 100 | False | none | 0
r3_left_knee_step_0.2n | left_knee_joint | step | 0.2 | -1.0 | 100 | False | none | 0
r3_left_knee_sine_0.5 | left_knee_joint | sine | 0.5 | 0.0 | 117 | True | root_roll=-0.01_pitch=0.36 | 1
r3_left_knee_sine_2.0 | left_knee_joint | sine | 2.0 | 0.0 | 113 | True | root_roll=-0.03_pitch=0.35 | 1
r3_left_knee_sine_5.0 | left_knee_joint | sine | 5.0 | 0.0 | 114 | True | root_roll=-0.02_pitch=0.36 | 1
