#### SCENE 2: official env (ModularTrackingEnvCfg via hydra) ####
num_shapes=45
shape_idx | contact_offset | rest_offset | material(static,dyn,rest)
  0 | 0.002800 | 0.000000 | 0.7873,0.5308,0.1625
  1 | 0.002000 | 0.000000 | 1.3065,0.9933,0.0089
  2 | 0.002000 | 0.000000 | 0.3650,0.7196,0.4699
  3 | 0.002920 | 0.000000 | 1.0197,0.6558,0.4285
  4 | 0.002800 | 0.000000 | 1.2051,0.7770,0.1280
  5 | 0.002600 | 0.000000 | 1.2650,0.7737,0.1218
  6 | 0.002720 | 0.000000 | 1.1883,0.9776,0.4290
  7 | 0.002000 | 0.000000 | 1.2055,1.1228,0.4676
  8 | 0.002000 | 0.000000 | 1.1314,0.9662,0.3383
  9 | 0.000491 | 0.000000 | 0.9371,1.1068,0.2278
 10 | 0.000491 | 0.000000 | 1.1220,0.6140,0.2009
 11 | 0.000491 | 0.000000 | 1.1883,0.9776,0.4290
 12 | 0.000491 | 0.000000 | 0.6666,0.6367,0.0119
 13 | 0.000491 | 0.000000 | 0.4172,0.6543,0.3034
 14 | 0.000491 | 0.000000 | 1.2650,0.7737,0.1218
 15 | 0.000491 | 0.000000 | 0.3661,0.5367,0.4202
 16 | 0.000491 | 0.000000 | 1.2051,0.7770,0.1280
 17 | 0.000491 | 0.000000 | 0.8452,0.7976,0.4764
 18 | 0.000491 | 0.000000 | 0.4461,0.4381,0.1209
 19 | 0.000491 | 0.000000 | 1.1930,0.3046,0.0878
 20 | 0.000491 | 0.000000 | 0.8452,0.7976,0.4764
 21 | 0.000491 | 0.000000 | 1.0098,0.4685,0.0170
 22 | 0.000491 | 0.000000 | 0.9371,1.1068,0.2278
 23 | 0.001400 | 0.000000 | 0.3650,0.7196,0.4699
 24 | 0.001400 | 0.000000 | 1.3555,0.3979,0.1971
 25 | 0.001400 | 0.000000 | 1.1220,0.6140,0.2009
 26 | 0.001400 | 0.000000 | 0.5265,0.7269,0.4290
 27 | 0.000514 | 0.000000 | 1.1314,0.9662,0.3383
 28 | 0.000491 | 0.000000 | 1.0600,0.3298,0.0694
 29 | 0.000514 | 0.000000 | 1.2746,0.8442,0.0550
 30 | 0.000491 | 0.000000 | 0.3290,0.4520,0.1469
 31 | 0.000963 | 0.000000 | 1.1220,0.6140,0.2009
 32 | 0.000598 | 0.000000 | 0.8832,0.7625,0.2284
 33 | 0.000514 | 0.000000 | 0.6508,0.4356,0.0159
 34 | 0.000491 | 0.000000 | 1.0197,0.6558,0.4285
 35 | 0.001066 | 0.000000 | 0.9748,0.8543,0.4051
 36 | 0.000514 | 0.000000 | 1.2650,0.7737,0.1218
 37 | 0.000491 | 0.000000 | 0.6849,1.1564,0.3405
 38 | 0.000514 | 0.000000 | 0.8832,0.7625,0.2284
 39 | 0.000491 | 0.000000 | 0.6508,0.4356,0.0159
 40 | 0.000963 | 0.000000 | 0.3650,0.7196,0.4699
 41 | 0.000598 | 0.000000 | 0.6617,0.7338,0.4099
 42 | 0.000514 | 0.000000 | 1.2055,1.1228,0.4676
 43 | 0.000491 | 0.000000 | 0.6525,0.9231,0.1019
 44 | 0.001052 | 0.000000 | 1.1464,0.9970,0.2184
contact_offset range: [0.0005, 0.0029]  rest_offset all-zero: True
